date,value_etf,ticker,field
2022-01-03,87.9856,XLB US Equity,close
2022-01-03,-0.013,XLB US Equity,daily_return
2022-01-03,77.6704,XLC US Equity,close
2022-01-03,0.007,XLC US Equity,daily_return
2022-01-03,55.4446,XLE US Equity,close
2022-01-03,0.031,XLE US Equity,daily_return
2022-01-03,38.9629,XLF US Equity,close
2022-01-03,0.0123,XLF US Equity,daily_return
2022-01-03,103.6391,XLI US Equity,close
2022-01-03,-0.0082,XLI US Equity,daily_return
2022-01-03,174.3125,XLK US Equity,close
2022-01-03,0.0095,XLK US Equity,daily_return
2022-01-03,75.6883,XLP US Equity,close
2022-01-03,-0.0001,XLP US Equity,daily_return
2022-01-03,50.1736,XLRE US Equity,close
2022-01-03,-0.0093,XLRE US Equity,daily_return
2022-01-03,69.3706,XLU US Equity,close
2022-01-03,-0.0099,XLU US Equity,daily_return
2022-01-03,137.872,XLV US Equity,close
2022-01-03,-0.0103,XLV US Equity,daily_return
2022-01-03,209.0649,XLY US Equity,close
2022-01-03,0.0287,XLY US Equity,daily_return
2022-01-04,89.0678,XLB US Equity,close
2022-01-04,0.0123,XLB US Equity,daily_return
2022-01-04,77.5016,XLC US Equity,close
2022-01-04,-0.0022,XLC US Equity,daily_return
2022-01-04,57.3632,XLE US Equity,close
2022-01-04,0.0346,XLE US Equity,daily_return
2022-01-04,39.988,XLF US Equity,close
2022-01-04,0.0263,XLF US Equity,daily_return
2022-01-04,105.7229,XLI US Equity,close
2022-01-04,0.0201,XLI US Equity,daily_return
2022-01-04,172.4653,XLK US Equity,close
2022-01-04,-0.0106,XLK US Equity,daily_return
2022-01-04,76.1988,XLP US Equity,close
2022-01-04,0.0067,XLP US Equity,daily_return
2022-01-04,49.9781,XLRE US Equity,close
2022-01-04,-0.0039,XLRE US Equity,daily_return
2022-01-04,69.1552,XLU US Equity,close
2022-01-04,-0.0031,XLU US Equity,daily_return
2022-01-04,136.0527,XLV US Equity,close
2022-01-04,-0.0132,XLV US Equity,daily_return
2022-01-04,207.7925,XLY US Equity,close
2022-01-04,-0.0061,XLY US Equity,daily_return
2022-01-05,89.0579,XLB US Equity,close
2022-01-05,-0.0001,XLB US Equity,daily_return
2022-01-05,75.5554,XLC US Equity,close
2022-01-05,-0.0251,XLC US Equity,daily_return
2022-01-05,57.3535,XLE US Equity,close
2022-01-05,-0.0002,XLE US Equity,daily_return
2022-01-05,39.5247,XLF US Equity,close
2022-01-05,-0.0116,XLF US Equity,daily_return
2022-01-05,104.7155,XLI US Equity,close
2022-01-05,-0.0095,XLI US Equity,daily_return
2022-01-05,167.1621,XLK US Equity,close
2022-01-05,-0.0308,XLK US Equity,daily_return
2022-01-05,76.13,XLP US Equity,close
2022-01-05,-0.0009,XLP US Equity,daily_return
2022-01-05,48.3555,XLRE US Equity,close
2022-01-05,-0.0325,XLRE US Equity,daily_return
2022-01-05,69.1161,XLU US Equity,close
2022-01-05,-0.0006,XLU US Equity,daily_return
2022-01-05,135.0837,XLV US Equity,close
2022-01-05,-0.0071,XLV US Equity,daily_return
2022-01-05,202.1858,XLY US Equity,close
