ticker,short_name,gics_sector_name,id_isin,gics_industry_group_name,gics_industry_name,gics_sub_industry_name
1284849D,ALLERGAN INC/UNI,Health Care,US0184901025,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
1288453D,MONSTER BEVERAGE,Consumer Staples,US6117401017,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
1436513D,JOHNSON CONTROLS,,US4783661071,,,
1437355D,SEATTLE SPINCO-A,,,,,
1448062D,DIRECTV,Communication Services,US25490A3095,Media & Entertainment,Media,Cable & Satellite
1500785D,TECO ENERGY INC,Utilities,US8723751009,Utilities,Multi-Utilities,Multi-Utilities
1518855D,YAHOO! INC - SET,Communication Services,,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
1539941D,SPECTRA ENERGY L,Energy,US8475601097,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
1541931D,ALTERA CORP,Information Technology,US0214411003,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
1566019D,ADT SECURITY COR,Industrials,US00101J1060,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services
1684442D,PALL CORP,Industrials,US6964293079,Capital Goods,Machinery,Industrial Machinery & Supplie
1697067D,DOW CHEMICAL CO,Materials,US2605431038,Materials,Chemicals,Diversified Chemicals
1715651D,EIDP INC,Materials,US2635341090,Materials,Chemicals,Diversified Chemicals
1806854D,DUN & BRADSTREET,Industrials,US26483E1001,Commercial & Professional Serv,Professional Services,Research & Consulting Services
1831877D,XL GROUP LTD,Financials,BMG982941046,Insurance,Insurance,Property & Casualty Insurance
1844053D,APARTMENT INVEST,Real Estate,,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
1856613D,MONSANTO CO,Materials,US61166W1018,Materials,Chemicals,Fertilizers & Agricultural Che
1922150D,LINDE INC/CT,Materials,US74005P1049,Materials,Chemicals,Industrial Gases
1927294D,L3 TECHNOLOGIES,Industrials,US5024131071,Capital Goods,Aerospace & Defense,Aerospace & Defense
2078185D,TIFFANY & CO,Consumer Discretionary,US8865471085,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
2258717D,EMC CORP/MA,Information Technology,US2686481027,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
2326248D,CA INC,Information Technology,US12673P1057,Software & Services,Software,Systems Software
2370058D,SUNTRUST BANKS,Financials,US8679141031,Banks,Banks,Regional Banks
2499073D,IHS MARKIT LTD,Industrials,BMG475671050,Commercial & Professional Serv,Professional Services,Research & Consulting Services
2544554D,SANDISK LLC,Information Technology,US80004C1018,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
2557974D,PEPCO HOLDINGS,Utilities,US7132911022,Utilities,Electric Utilities,Electric Utilities
2558202D,SCRIPPS NET-CL A,Communication Services,US8110651010,Media & Entertainment,Media,Broadcasting
2584271D,PLUM CREEK TIMBR,,US7292511083,,,
9876549D,NIELSEN NV,Industrials,NL0009538479,Commercial & Professional Serv,Professional Services,Research & Consulting Services
9876566D,CHUBB CORP,Financials,US1712321017,Insurance,Insurance,Property & Casualty Insurance
9903115D,BLACKROCK FINANC,Financials,US09247X1019,Financial Services,Capital Markets,Asset Management & Custody Ban
9980328D,LABORATORY CP,Health Care,US50540R4092,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
9983490D,TE CONNECTIVITY,Information Technology,CH0102993182,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi
9990213D,JACOBS ENGIN GRP,Industrials,US4698141078,Commercial & Professional Serv,Professional Services,Research & Consulting Services
9991429D,APTIV IRISH HOLD,Consumer Discretionary,JE00B783TY65,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
A,AGILENT TECH INC,Health Care,US00846U1016,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AA,ALCOA CORP,Materials,US0138721065,Materials,Metals & Mining,Aluminum
AAL,AMERICAN AIRLINE,Industrials,US02376R1023,Transportation,Passenger Airlines,Passenger Airlines
AAP,ADVANCE AUTO PAR,Consumer Discretionary,US00751Y1064,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
AAPL,APPLE INC,Information Technology,US0378331005,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
ABBV,ABBVIE INC,Health Care,US00287Y1091,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABMD,ABIOMED INC,Health Care,US0036541003,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABNB,AIRBNB INC-A,Consumer Discretionary,US0090661010,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
ABT,ABBOTT LABS,Health Care,US0028241000,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ACGL,ARCH CAPITAL GRP,Financials,BMG0450A1053,Insurance,Insurance,Property & Casualty Insurance
ACN,ACCENTURE PLC-A,Information Technology,IE00B4BNMY34,Software & Services,IT Services,IT Consulting & Other Services
ADBE,ADOBE INC,Information Technology,US00724F1012,Software & Services,Software,Application Software
ADI,ANALOG DEVICES,Information Technology,US0326541051,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ADM,ARCHER-DANIELS,Consumer Staples,US0394831020,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
ADP,AUTOMATIC DATA,Industrials,US0530151036,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ADSK,AUTODESK INC,Information Technology,US0527691069,Software & Services,Software,Application Software
AEE,AMEREN CORP,Utilities,US0236081024,Utilities,Multi-Utilities,Multi-Utilities
AEP,AMERICAN ELECTRI,Utilities,US0255371017,Utilities,Electric Utilities,Electric Utilities
AES,AES CORP,Utilities,US00130H1059,Utilities,Independent Power and Renewabl,Independent Power Producers &
AET,AETNA INC,Health Care,US00817Y1082,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
AFL,AFLAC INC,Financials,US0010551028,Insurance,Insurance,Life & Health Insurance
AGN,ALLERGAN UNLTD C,Health Care,IE00BY9D5467,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AIG,AMERICAN INTERNA,Financials,US0268747849,Insurance,Insurance,Property & Casualty Insurance
AIRC,APARTMENT INCOME,Real Estate,US03750L1098,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIV,APARTMENT INVEST,Real Estate,US03748R7474,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIZ,ASSURANT INC,Financials,US04621X1081,Insurance,Insurance,Property & Casualty Insurance
AJG,ARTHUR J GALLAGH,Financials,US3635761097,Insurance,Insurance,Insurance Brokers
AKAM,AKAMAI TECHNOLOG,Information Technology,US00971T1016,Software & Services,IT Services,Internet Services & Infrastruc
ALB,ALBEMARLE CORP,Materials,US0126531013,Materials,Chemicals,Specialty Chemicals
ALGN,ALIGN TECHNOLOGY,Health Care,US0162551016,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ALK,ALASKA AIR GROUP,Industrials,US0116591092,Transportation,Passenger Airlines,Passenger Airlines
ALL,ALLSTATE CORP,Financials,US0200021014,Insurance,Insurance,Property & Casualty Insurance
ALLE,ALLEGION PLC,Industrials,IE00BFRT3W74,Capital Goods,Building Products,Building Products
ALXN,ALEXION PHARM,Health Care,US0153511094,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMAT,APPLIED MATERIAL,Information Technology,US0382221051,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AMCR,AMCOR PLC,Materials,JE00BJ1F3079,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
AMD,ADV MICRO DEVICE,Information Technology,US0079031078,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AME,AMETEK INC,Industrials,US0311001004,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMG,AFFIL MANAGERS,Financials,US0082521081,Financial Services,Capital Markets,Asset Management & Custody Ban
AMGN,AMGEN INC,Health Care,US0311621009,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMP,AMERIPRISE FINAN,Financials,US03076C1062,Financial Services,Capital Markets,Asset Management & Custody Ban
AMT,AMERICAN TOWER C,Real Estate,US03027X1000,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs
AMTM,AMENTUM HOLDINGS,Industrials,US0239391016,Commercial & Professional Serv,Professional Services,Research & Consulting Services
AMZN,AMAZON.COM INC,Consumer Discretionary,US0231351067,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
AN,AUTONATION INC,Consumer Discretionary,US05329W1027,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ANDV,ANDEAVOR,Energy,US03349M1053,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
ANET,ARISTA NETWORKS,Information Technology,US0404132054,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ANSS,ANSYS INC,Information Technology,US03662Q1058,Software & Services,Software,Application Software
