,ticker,short_name,security_name,name,long_comp_name
1284849D US Equity,1284849D,ALLERGAN INC/UNI,Allergan Inc/United States,ALLERGAN INC/UNITED STATES,Allergan Inc/United States
1288453D US Equity,1288453D,MONSTER BEVERAGE,Monster Beverage 1990 Corp,MONSTER BEVERAGE 1990 CORP,Monster Beverage 1990 Corp
1436513D US Equity,1436513D,JOHNSON CONTROLS,Johnson Controls Inc,JOHNSON CONTROLS INC,Johnson Controls Inc
1437355D US Equity,1437355D,SEATTLE SPINCO-A,Seattle SpinCo Inc,SEATTLE SPINCO INC-CLASS A,Seattle SpinCo Inc
1448062D US Equity,1448062D,DIRECTV,DIRECTV,DIRECTV,DIRECTV
1500785D US Equity,1500785D,TECO ENERGY INC,TECO Energy Inc,TECO ENERGY INC,TECO Energy Inc
1518855D US Equity,1518855D,YAHOO! INC - SET,Yahoo! Inc - Set up for Fundam,YAHOO! INC - SET UP FOR FUND,Yahoo! Inc - Set up for Fundamental Purposes
1539941D US Equity,1539941D,SPECTRA ENERGY L,Spectra Energy LLC,SPECTRA ENERGY LLC,Spectra Energy LLC
1541931D US Equity,1541931D,ALTERA CORP,Altera Corp,ALTERA CORP,Altera Corp
1566019D US Equity,1566019D,ADT SECURITY COR,ADT Security Corp/The,ADT SECURITY CORP/THE,ADT Security Corp/The
1684442D US Equity,1684442D,PALL CORP,Pall Corp,PALL CORP,Pall Corp
1697067D US Equity,1697067D,DOW CHEMICAL CO,Dow Chemical Co/The,DOW CHEMICAL CO/THE,Dow Chemical Co/The
1715651D US Equity,1715651D,EIDP INC,EIDP Inc,EIDP INC,EIDP Inc
1806854D US Equity,1806854D,DUN & BRADSTREET,Dun & Bradstreet Corp/The,DUN & BRADSTREET CORP,Dun & Bradstreet Corp/The
1831877D US Equity,1831877D,XL GROUP LTD,XL Group Ltd,XL GROUP LTD,XL Group Ltd
1844053D US Equity,1844053D,APARTMENT INVEST,Apartment Investment and Manag,APARTMENT INVESTMENT AND MAN,Apartment Investment and Management Co
1856613D US Equity,1856613D,MONSANTO CO,Monsanto Co,MONSANTO CO,Monsanto Co
1922150D US Equity,1922150D,LINDE INC/CT,Linde Inc/CT,LINDE INC/CT,Linde Inc/CT
1927294D US Equity,1927294D,L3 TECHNOLOGIES,L3 Technologies Inc,L3 TECHNOLOGIES INC,L3 Technologies Inc
2078185D US Equity,2078185D,TIFFANY & CO,Tiffany & Co,TIFFANY & CO,Tiffany & Co
2258717D US Equity,2258717D,EMC CORP/MA,EMC Corp,EMC CORP/MA,EMC Corp
2326248D US Equity,2326248D,CA INC,CA Inc,CA INC,CA Inc
2370058D US Equity,2370058D,SUNTRUST BANKS,SunTrust Banks Inc,SUNTRUST BANKS INC,SunTrust Banks Inc
2499073D US Equity,2499073D,IHS MARKIT LTD,IHS Markit Ltd,IHS MARKIT LTD,IHS Markit Ltd
2544554D US Equity,2544554D,SANDISK LLC,SanDisk LLC,SANDISK LLC,SanDisk LLC
2557974D US Equity,2557974D,PEPCO HOLDINGS,Pepco Holdings LLC,PEPCO HOLDINGS LLC,Pepco Holdings LLC
2558202D US Equity,2558202D,SCRIPPS NET-CL A,Scripps Networks Interactive I,SCRIPPS NETWORKS INTER-CL A,Scripps Networks Interactive Inc
2584271D US Equity,2584271D,PLUM CREEK TIMBR,Plum Creek Timber Co Inc,PLUM CREEK TIMBER CO,Plum Creek Timber Co Inc
9876549D US Equity,9876549D,NIELSEN NV,Nielsen NV,NIELSEN NV,Nielsen NV
9876566D US Equity,9876566D,CHUBB CORP,Chubb Corp/The,CHUBB CORP,Chubb Corp/The
9903115D US Equity,9903115D,BLACKROCK FINANC,Blackrock Finance Inc,BLACKROCK FINANCE INC,Blackrock Finance Inc
9980328D US Equity,9980328D,LABORATORY CP,Laboratory Corp of America Hol,LABORATORY CRP OF AMER HLDGS,Laboratory Corp of America Holdings
9983490D US Equity,9983490D,TE CONNECTIVITY,TE Connectivity Ltd,TE CONNECTIVITY LTD,TE Connectivity Ltd
9990213D US Equity,9990213D,JACOBS ENGIN GRP,Jacobs Engineering Group Inc,JACOBS ENGINEERING GROUP INC,Jacobs Engineering Group Inc
9991429D US Equity,9991429D,APTIV IRISH HOLD,Aptiv Irish Holdings Ltd,APTIV IRISH HOLDINGS LTD,Aptiv Irish Holdings Ltd
A US Equity,A,AGILENT TECH INC,Agilent Technologies Inc,AGILENT TECHNOLOGIES INC,Agilent Technologies Inc
AA US Equity,AA,ALCOA CORP,Alcoa Corp,ALCOA CORP,Alcoa Corp
AAL US Equity,AAL,AMERICAN AIRLINE,American Airlines Group Inc,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc
AAP US Equity,AAP,ADVANCE AUTO PAR,Advance Auto Parts Inc,ADVANCE AUTO PARTS INC,Advance Auto Parts Inc
AAPL US Equity,AAPL,APPLE INC,Apple Inc,APPLE INC,Apple Inc
ABBV US Equity,ABBV,ABBVIE INC,AbbVie Inc,ABBVIE INC,AbbVie Inc
ABMD US Equity,ABMD,ABIOMED INC,ABIOMED Inc,ABIOMED INC,ABIOMED Inc
ABNB US Equity,ABNB,AIRBNB INC-A,Airbnb Inc,AIRBNB INC-CLASS A,Airbnb Inc
ABT US Equity,ABT,ABBOTT LABS,Abbott Laboratories,ABBOTT LABORATORIES,Abbott Laboratories
ACGL US Equity,ACGL,ARCH CAPITAL GRP,Arch Capital Group Ltd,ARCH CAPITAL GROUP LTD,Arch Capital Group Ltd
ACN US Equity,ACN,ACCENTURE PLC-A,Accenture PLC,ACCENTURE PLC-CL A,Accenture PLC
ADBE US Equity,ADBE,ADOBE INC,Adobe Inc,ADOBE INC,Adobe Inc
ADI US Equity,ADI,ANALOG DEVICES,Analog Devices Inc,ANALOG DEVICES INC,Analog Devices Inc
ADM US Equity,ADM,ARCHER-DANIELS,Archer-Daniels-Midland Co,ARCHER-DANIELS-MIDLAND CO,Archer-Daniels-Midland Co
